Fold1,Mean±Std
72.50,72.50±nan
50.83,50.83±nan
86.67,86.67±nan
100.00,100.00±nan
99.17,99.17±nan
95.00,95.00±nan
99.17,99.17±nan
100.00,100.00±nan
97.50,97.50±nan
84.17,84.17±nan
88.50,88.50±15.21
